 Asset Description,Commision Year,More than 10years,Purchase Cost,Price more 10k, Asset Status, Expected Lifespan (Years), Asset Age (Year), Warranty Duration,Past Expected, Purchase Category,Purchase Status,Purchase Date
"Infusion Pumps, Syringe",2018,0,3700,0,Active,10,0.11,24,0,Additional,1,25/10/2018
"Infusion Pumps, Syringe",2018,0,3700,0,Active,10,0.11,24,0,Additional,1,25/10/2018
"Infusion Pumps, Syringe",2018,0,3700,0,Active,10,0.11,24,0,Additional,1,25/10/2018
"Electrosurgical Units, Monopolar/Bipolar",2018,0,48980,1,Active,7,0.1,12,0,Additional,1,02/11/2018
"Handpieces, Surgical",2018,0,180000,1,Active,8,0.1,24,0,Additional,1,02/11/2018
Aspirators,2018,0,4700,0,Active,10,0.11,12,0,Additional,1,30/10/2018
Aspirators,2018,0,4700,0,Active,10,0.11,12,0,Additional,1,30/10/2018
"Vacuum-Mixing Devices, Dental",2018,0,3350,0,Active,8,0.11,12,0,Additional,1,19/10/2018
"Monitors, Physiologic, Vital Signs",2018,0,8800,0,Active,7,0.11,24,0,Additional,1,10/10/2018
"Physiologic Monitoring Systems, Acute Care",2018,0,5000,0,Active,7,0.11,12,0,Additional,1,26/10/2018
"Physiologic Monitoring Systems, Acute Care",2018,0,5000,0,Active,7,0.11,12,0,Additional,1,26/10/2018
"Physiologic Monitoring Systems, Acute Care",2018,0,5000,0,Active,7,0.11,12,0,Additional,1,26/10/2018
"Physiologic Monitoring Systems, Acute Care",2018,0,5000,0,Active,7,0.11,12,0,Additional,1,26/10/2018
"Physiologic Monitoring Systems, Acute Care",2018,0,5000,0,Active,7,0.11,12,0,Additional,1,26/10/2018
"Physiologic Monitoring Systems, Acute Care",2018,0,5000,0,Active,7,0.11,12,0,Additional,1,26/10/2018
"Sphygmomanometers, Electronic, Automatic",2018,0,3500,0,Active,10,0.1,12,0,Additional,1,02/11/2018
"Sphygmomanometers, Electronic, Automatic",2018,0,3500,0,Active,10,0.1,12,0,Additional,1,02/11/2018
"Sphygmomanometers, Electronic, Automatic",2018,0,3500,0,Active,10,0.1,12,0,Additional,1,02/11/2018
"Sphygmomanometers, Electronic, Automatic",2018,0,3500,0,Active,10,0.1,12,0,Additional,1,02/11/2018
"Monitors, Physiologic, Vital Signs",2018,0,4800,0,Active,7,0.11,24,0,Additional,1,26/10/2018
"Monitors, Physiologic, Vital Signs",2018,0,4800,0,Active,7,0.11,24,0,Additional,1,26/10/2018
"Monitors, Physiologic, Vital Signs",2018,0,4800,0,Active,7,0.11,24,0,Additional,1,26/10/2018
"Monitors, Physiologic, Vital Signs",2018,0,4800,0,Active,7,0.11,24,0,Additional,1,26/10/2018
"Monitors, Physiologic, Vital Signs",2018,0,4800,0,Active,7,0.11,24,0,Additional,1,26/10/2018
Cardiotocographs,2018,0,20000,1,Active,10,0.11,12,0,Additional,1,18/10/2018
Cardiotocographs,2018,0,20000,1,Active,10,0.11,12,0,Additional,1,18/10/2018
"Infusion Pumps, Syringe",2018,0,3700,0,Active,10,0.11,24,0,Additional,1,25/10/2018
"Infusion Pumps, Syringe",2018,0,3700,0,Active,10,0.11,24,0,Additional,1,25/10/2018
"Infusion Pumps, Syringe",2018,0,3700,0,Active,10,0.11,24,0,Additional,1,25/10/2018
"Infusion Pumps, Syringe",2018,0,3700,0,Active,10,0.11,24,0,Additional,1,25/10/2018
"Infusion Pumps, Syringe",2018,0,3700,0,Active,10,0.11,24,0,Additional,1,25/10/2018
"Infusion Pumps, Syringe",2018,0,3700,0,Active,10,0.11,24,0,Additional,1,25/10/2018
"Infusion Pumps, Syringe",2018,0,3700,0,Active,10,0.11,24,0,Additional,1,25/10/2018
"Spirometers, Diagnostic",2018,0,14500,1,Active,8,0.1,12,0,Additional,1,17/11/2018
"Sphygmomanometers, Electronic, Manual",2018,0,11000,1,Active,5,0.1,12,0,Additional,1,17/11/2018
Centrifuges,2013,0,24750,1,Active,8,6.3,11,0,Additional,1,25/06/2013
Electric Micro Drill,2013,0,79935.5,1,Active,8,6.3,23,0,Additional,1,28/06/2013
Linear Endoscopic Ultrasound,2013,0,367000,1,Active,3,6.3,11,1,Additional,1,18/06/2013
Ultrasound Gastrovideoscope,2013,0,357500,1,Active,3,6.3,11,1,Additional,1,18/06/2013
Diathermy,2013,0,154000,1,Active,7,6.3,11,0,Additional,1,24/06/2013
NIBP With SpO2 & Temperature,2013,0,5500,0,Active,7,5.11,11,0,Additional,1,29/10/2013
NIBP With SpO2 & Temperature,2013,0,5500,0,Active,7,5.11,11,0,Additional,1,29/10/2013
NIBP With SpO2 & Temperature,2013,0,5500,0,Active,7,5.11,11,0,Additional,1,29/10/2013
NIBP Set With SpO2 & Temperature,2013,0,5550,0,Active,7,6.4,11,0,Additional,1,02/05/2013
"Laryngoscopes, Rigid, Video",2018,0,84900,1,Active,3,6.1,12,1,Additional,1,20/08/2013
Dermatomes,2018,0,45000,1,Active,10,1,12,0,Additional,1,13/09/2018
Dermatomes,2018,0,45000,1,Active,10,1,12,0,Additional,1,13/09/2018
"Monitors, Physiologic, Vital Signs",2018,0,8800,0,Active,7,1.1,24,0,Additional,1,24/08/2018
"Ultrasound Therapy Systems, Physical Therapy",2018,0,50000,1,Active,7,0.1,12,0,Additional,1,02/11/2018
"Defibrillators, External, Manual",2018,0,21500,1,Active,5,0.11,24,0,Additional,1,16/10/2018
"Defibrillators, External, Automated",2018,0,10000,1,Active,5,1.1,12,0,Additional,1,14/08/2018
"Defibrillators, External, Automated",2018,0,10000,1,Active,5,1.1,12,0,Additional,1,14/08/2018
Arthroscopic Shaver Systems,2018,0,95700,1,Active,10,1,12,0,Additional,1,07/09/2018
Powered Air Purifying Respirator (Papr),2007,1,4991,0,Active,8,12.1,12,1,Additional,1,16/08/2007
Powered Air Purifying Respirator (Papr),2007,1,4991,0,Active,8,12.1,12,1,Additional,1,16/08/2007
Powered Air Purifying Respirator (Papr),2007,1,4991,0,Active,8,12.1,12,1,Additional,1,16/08/2007
Electrocardiograph,2014,0,3300,0,Active,7,4.1,11,0,Additional,1,12/11/2014
"Spirometers, Diagnostic",2015,0,11800,1,Active,8,3.1,12,0,Additional,1,17/11/2015
Vital Signs Monitor,2015,0,6000,0,Active,7,4.1,12,0,Additional,1,26/08/2015
Vital Signs Monitor,2015,0,6000,0,Active,7,4.1,12,0,Additional,1,26/08/2015
NIBP Electronic,2010,0,470,0,Active,10,9.9,11,0,Additional,1,24/12/2009
NIBP Electronic,2007,1,6900,0,Active,10,15.9,12,1,Additional,1,15/12/2003
NIBP Monitor,2014,0,490,0,Active,10,5.9,11,0,Additional,1,09/12/2013
NIBP Monitor,2014,0,490,0,Active,10,5.9,11,0,Additional,1,09/12/2013
NIBP Monitor,2014,0,490,0,Active,10,5.9,11,0,Additional,1,09/12/2013
Electrocardiograph,2003,1,4400,0,Active,7,15.9,12,1,Additional,1,24/12/2003
Electrocardiograph,2015,0,5000,0,Active,7,4.1,12,0,Additional,1,26/08/2015
Ultrasound,2003,1,186650,1,Active,8,16.4,24,1,Additional,1,08/05/2003
Cr System,2015,0,65000,1,Active,8,4,24,0,Additional,1,02/09/2015
Infusion Pump,2008,1,4000,0,Active,10,10.1,11,1,Additional,1,21/11/2008
Infusion Pump,2014,0,2640,0,Active,10,5.1,24,0,Additional,1,07/08/2014
Infusion Pump,2014,0,2640,0,Active,10,5.1,24,0,Additional,1,07/08/2014
Infusion Pump,2008,1,3300,0,Active,10,11.9,24,1,Additional,1,02/12/2007
Vascular Doppler,2014,0,5800,0,Active,5,4.9,11,0,Additional,1,11/12/2014
Vital Sign Monitor,2016,0,6400,0,Active,7,2.1,11,0,Additional,1,17/11/2016
Transport Monitor,2015,0,9000,0,Active,7,6.3,23,0,Additional,1,10/06/2013
Laser Imager,2014,0,48990,1,Active,10,5.1,12,0,Additional,1,12/08/2014
R.O Water Purification System,2006,1,91400,1,Active,8,13.2,11,1,Additional,1,10/07/2006
Hemodialysis Unit,2011,0,39950,1,Active,5,7.11,12,1,Additional,1,22/10/2011
Hemodialysis Unit,2007,1,35995,1,Active,5,12.6,12,1,Additional,1,08/03/2007
NIBP Electronic,2006,1,2550,0,Active,10,12.1,11,1,Additional,1,29/11/2006
Defibrillator,2013,0,19500,1,Active,5,6.2,23,1,Additional,1,25/07/2013
Aspirator,2004,1,2200,0,Active,10,15.4,12,1,Replacement,0,10/05/2004
Vital Sign Monitor,2016,0,5500,0,Active,7,2.11,23,0,Additional,1,25/10/2016
Low Voltage Cast Saw & Extractor System,2010,0,19500,1,Active,10,9.1,11,0,Additional,1,02/08/2010
SpO2,2009,1,4000,0,Active,10,10.2,11,1,Additional,1,20/07/2009
Cast Cutter Oscillator,2013,0,10000,1,Active,10,6.6,11,0,Additional,1,28/03/2013
Ripple Mattress,2015,0,1898,0,Active,5,4.3,12,0,Additional,1,04/06/2015
Transport Monitor,2013,0,10900,1,Active,7,5.9,23,0,Additional,1,31/12/2013
Ripple Mattress,2015,0,1898,0,Active,5,4.3,12,0,Additional,1,04/06/2015
Pulse Oximeter,2014,0,4200,0,Active,10,5.7,23,0,Additional,1,20/02/2014
Pulse Oximeter,2014,0,4200,0,Active,10,5.7,23,0,Additional,1,20/02/2014
Ripple Mattress,2015,0,1898,0,Active,5,4.3,12,0,Additional,1,04/06/2015
Ripple Mattress,2015,0,1898,0,Active,5,4.3,12,0,Additional,1,04/06/2015
Suction Pump,2014,0,3800,0,Active,10,5.5,11,0,Additional,1,11/04/2014
Physiologic Monitoring System,2016,0,4920,0,Active,7,2.11,11,0,Additional,1,25/10/2016
Syringe Pump,2014,0,2810,0,Active,10,4.9,24,0,Additional,1,01/12/2014
Low Voltage Cast Saw & Extractor System,2013,0,19500,1,Active,10,6.7,11,0,Additional,1,20/02/2013
Cr System,2015,0,65000,1,Active,8,4,24,0,Additional,1,02/09/2015
Laser Imager,2015,0,31250,1,Active,10,4,24,0,Additional,1,02/09/2015
Laser Imager,2015,0,31250,1,Active,10,4,24,0,Additional,1,02/09/2015
Ultrasound,2007,1,334000,1,Active,8,12.4,12,1,Additional,1,18/05/2007
Dryview Laser Imager Processor,2008,1,80000,1,Active,10,11.1,23,1,Additional,1,20/08/2008
Emg Functional Electrical Stimulator (Fes),2013,0,5000,0,Active,10,6.3,11,0,Additional,1,18/06/2013
Fluidotherapy (Dry Heat Therapy Unit),2007,1,41110,1,Active,10,12.4,12,1,Additional,1,22/05/2007
"Centrifuges, Tabletop",2018,0,9000,0,Active,8,1.6,12,0,Additional,1,30/03/2018
"Centrifuges, Tabletop",2018,0,9000,0,Active,8,1.6,12,0,Additional,1,30/03/2018
"Electrocardiographs, Multichannel, Interpretative",2018,0,10000,1,Active,7,1.1,12,0,Additional,1,17/08/2018
"Electrocardiographs, Multichannel, Interpretative",2018,0,10000,1,Active,7,1.1,12,0,Additional,1,17/08/2018
"Tourniquets, Pneumatic",2018,0,45000,1,Active,10,1.1,12,0,Additional,1,30/08/2018
ECG Machine,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,02/12/2011
Vascular Doppler,2015,0,6800,0,Active,7,4.1,12,0,Additional,1,27/08/2015
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
Doppler System,2008,1,34700,1,Active,5,12.1,11,1,Additional,1,30/11/2006
NIBP Electronic,2007,1,230,0,Active,10,11.11,36,1,Additional,1,05/10/2007
Ultrasound,2012,0,127980,1,Active,8,6.9,23,0,Additional,1,20/12/2012
Vascular Doppler,2015,0,6800,0,Active,7,4.1,12,0,Additional,1,27/08/2015
Doppler,2006,1,5500,0,Active,5,13.2,11,1,Additional,1,05/07/2006
Ultrasonic Cleaner,2015,0,199020,1,Active,8,3.1,12,0,Additional,1,05/11/2015
Portable Ultrasound,2013,0,230000,1,Active,8,6.2,36,0,Additional,1,11/07/2013
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
Vascular Doppler,2015,0,6800,0,Active,7,4.1,12,0,Additional,1,27/08/2015
Biopsy Gun,2004,1,6500,0,Active,5,14.1,11,1,Additional,1,02/11/2004
Biopsy Gun,2004,1,6500,0,Active,5,14.1,11,1,Additional,1,02/11/2004
Ultrasound,2015,0,173000,1,Active,8,3.11,36,0,Additional,1,22/10/2015
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
Syringe Pump,2003,1,2850,0,Active,10,15.1,12,1,Additional,1,19/11/2003
Patient Monitor,2011,0,88500,1,Active,7,8.1,24,1,Additional,1,23/08/2011
Transport Ventilator,2003,1,36000,1,Active,10,16,12,1,Additional,1,13/09/2003
Electrocardiographs,2014,0,4900,0,Active,7,4.1,11,0,Additional,1,18/11/2014
NIBP Electronic,2006,1,2550,0,Active,10,12.1,11,1,Additional,1,29/11/2006
Pocket Dosimeter,2011,1,3000,0,Active,8,10.9,11,1,Additional,1,19/12/2008
Infusion Pump,2014,0,2640,0,Active,10,5.1,24,0,Additional,1,07/08/2014
Infusion Pump,2014,0,2640,0,Active,10,5.1,24,0,Additional,1,07/08/2014
Patient Monitor,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,13/12/2011
Automated External Defibrillator,2012,0,8450,0,Active,5,6.1,11,1,Additional,1,06/11/2012
Vascular Assist,2010,0,38000,1,Active,5,8.9,11,1,Additional,1,20/12/2010
Fetal Monitor M2702A,2009,1,18500,1,Active,10,10.3,11,1,Additional,1,19/06/2009
Cardiotocograph,2010,0,18000,1,Active,10,9.1,24,0,Additional,1,11/08/2010
Defibrillator,2005,1,16000,1,Active,5,14.1,11,1,Additional,1,23/08/2005
Laryngoscope,2008,1,950,0,Active,5,10.11,11,1,Additional,1,13/10/2008
Laryngoscope,2008,1,950,0,Active,5,10.11,11,1,Additional,1,13/10/2008
Diagnostic Set,2008,1,650,0,Active,5,10.11,11,1,Additional,1,13/10/2008
Pulse Oximeter,2009,0,4880,0,Active,10,10,11,1,Additional,1,29/09/2009
Vital Signs Monitor,2010,0,6600,0,Active,7,9,24,1,Additional,1,30/09/2010
Infant Radiant Warmer & Resuscitator,2003,1,22000,1,Active,8,16.8,11,1,Additional,1,23/01/2003
Ankle Brachial Pressure Index (Abpi),2013,0,18500,1,Active,7,6.2,11,0,Additional,1,16/07/2013
Ankle Brachial Index System,2014,0,18000,1,Active,7,4.11,11,0,Additional,1,22/10/2014
Aspirator,2007,1,4800,0,Active,10,12.1,12,1,Additional,1,14/08/2007
Biopsy Set,2011,0,6250,0,Active,5,8.9,11,1,Additional,1,24/12/2010
Biopsy Gun,2014,0,6200,0,Active,5,4.11,11,0,Additional,1,22/10/2014
Biopsy Gun,2014,0,6200,0,Active,5,4.11,11,0,Additional,1,22/10/2014
Doppler,2004,1,4700,0,Active,5,14.9,11,1,Additional,1,02/12/2004
Doppler,2004,1,4700,0,Active,5,14.9,11,1,Additional,1,02/12/2004
Doppler,2006,1,5400,0,Active,5,12.1,11,1,Additional,1,30/11/2006
Vascular Doppler,2010,0,5000,0,Active,5,9.1,11,1,Additional,1,12/08/2010
Vascular Doppler,2010,0,5000,0,Active,5,9.3,11,1,Additional,1,28/06/2010
Doppler,2013,0,5800,0,Active,5,6.2,11,1,Additional,1,17/07/2013
Doppler,2013,0,5800,0,Active,5,6.2,11,1,Additional,1,17/07/2013
Doppler,2013,0,5800,0,Active,5,6.2,11,1,Additional,1,17/07/2013
Doppler,2013,0,5800,0,Active,5,6.2,11,1,Additional,1,17/07/2013
Doppler,2013,0,5800,0,Active,5,6.2,11,1,Additional,1,17/07/2013
Doppler,2014,0,6000,0,Active,5,5.5,11,1,Additional,1,25/04/2014
Vascular Doppler,2007,1,3800,0,Active,5,11.11,12,1,Additional,1,23/10/2007
Vascular Doppler,2007,1,3800,0,Active,5,11.11,12,1,Additional,1,23/10/2007
Lymphedema Pump,2015,0,24990,1,Active,10,4,12,0,Additional,1,01/09/2015
Fetal Heart Detector,2014,0,1900,0,Active,7,4.9,11,0,Additional,1,10/12/2014
Hemodialysis Unit,2009,1,34440,1,Active,5,10.3,11,1,Additional,1,18/06/2009
Continuous Renal Replacement Therapy (Crrt),2017,0,115000,1,Active,8,2.3,12,0,Additional,1,02/06/2017
Compression System / Dvt Pump,2015,0,6000,0,Active,10,4,12,0,Additional,1,29/09/2015
Syringe Pump,2016,0,2695,0,Active,10,2.11,11,0,Additional,1,20/10/2016
Syringe Pump,2016,0,2695,0,Active,10,2.11,11,0,Additional,1,20/10/2016
Syringe Pump,2016,0,2695,0,Active,10,2.11,11,0,Additional,1,20/10/2016
Syringe Pump,2016,0,2695,0,Active,10,2.11,11,0,Additional,1,20/10/2016
Bedside Monitor,2011,0,17800,1,Active,7,7.9,12,1,Additional,1,02/12/2011
Physiologic Monitoring System,2016,0,4920,0,Active,7,2.11,11,0,Additional,1,25/10/2016
Syringe Pump,2016,0,2695,0,Active,10,2.11,11,0,Additional,1,20/10/2016
Electrocardiograph,2017,0,9950,0,Active,7,2.4,24,0,Additional,1,22/05/2017
